another;另一個;əˈnʌðɚ;Can I have another cup of coffee?;我可以再要一杯咖啡嗎？;0;0;0;0
answer;回答；答案;ˈænsɚ;He didn’t know the answer.;他不知道答案。;0;0;0;0
ant;螞蟻;ænt;An ant is carrying a leaf.;一隻螞蟻正在搬一片樹葉。;0;0;0;0
any;任何的;ˈɛni;Do you have any questions?;你有任何問題嗎？;0;0;0;0
anything;任何事物;ˈɛniˌθɪŋ;You can eat anything you like.;你可以吃任何你喜歡的東西。;0;0;0;0
ape;猿；類人猿;eɪp;The ape is climbing a tree.;那隻猿正在爬樹。;0;0;0;0
appear;出現；似乎;əˈpɪr;A rainbow appeared after the rain.;雨後出現了一道彩虹。;0;0;0;0
apple;蘋果;ˈæpəl;I ate an apple for breakfast.;我早餐吃了一顆蘋果。;0;0;0;0
April;四月;ˈeɪprəl;My birthday is in April.;我的生日在四月。;0;0;0;0
are;是（第二人稱或複數）;ɑr;They are students.;他們是學生。;0;0;0;0
