agreement;協議；同意;əˈɡrimənt;They signed an agreement yesterday.;他們昨天簽署了一份協議。;0;0;0;0
ahead;在前面；提前;əˈhɛd;Go straight ahead.;一直往前走。;0;0;0;0
air;空氣;ɛr;The air is fresh in the mountains.;山上的空氣很新鮮。;0;0;0;0
airmail;航空郵件;ˈɛrˌmeɪl;I sent the letter by airmail.;我用航空郵件寄了那封信。;0;0;0;0
airplane;飛機;ˈɛrˌpleɪn;The airplane took off on time.;飛機準時起飛。;0;0;0;0
airport;機場;ˈɛrˌpɔrt;We arrived at the airport early.;我們提早抵達機場。;0;0;0;0
all;全部的；所有的;ɔl;All the students passed the exam.;所有學生都通過了考試。;0;0;0;0
allow;允許;əˈlaʊ;My parents don’t allow me to stay out late.;我的父母不允許我晚歸。;0;0;0;0
almost;幾乎;ˈɔlmoʊst;It’s almost time for dinner.;差不多到吃晚餐的時間了。;0;0;0;0
alone;獨自的;əˈloʊn;He lives alone in a small house.;他獨自住在一間小房子裡。;0;0;0;0
