English;Chinese;KK;Example_en;Example_zh;col1;col2;col3;col4
along;沿著；一起;əˈlɔŋ;We walked along the river.;我們沿著河邊散步。;0;0;0;0
already;已經;ɔlˈrɛdi;She has already finished her homework.;她已經完成了作業。;0;0;0;0
also;也；同樣地;ˈɔlsoʊ;He is smart and also very kind.;他很聰明，也很善良。;0;0;0;0
always;總是；一直;ˈɔlweɪz;She always gets up early.;她總是早起。;0;0;0;0
am;是（第一人稱單數）;æm;I am a student.;我是一名學生。;0;0;0;0
among;在...之中;əˈmʌŋ;He was sitting among his friends.;他坐在朋友之中。;0;0;0;0
and;和；以及;ænd;Tom and Jerry are good friends.;湯姆和傑瑞是好朋友。;0;0;0;0
anger;憤怒;ˈæŋɡɚ;He couldn’t hide his anger.;他無法隱藏他的憤怒。;0;0;0;0
angry;生氣的;ˈæŋɡri;She was angry with her brother.;她對她弟弟生氣。;0;0;0;0
animal;動物;ˈænəməl;The elephant is a large animal.;大象是一種大型動物。;0;0;0;0
