address;地址；演說;əˈdrɛs / ˈædrɛs;Please write your address here.;請在這裡寫下你的地址。;0;0;0;0
adult;成人;əˈdʌlt / ˈædʌlt;Children must be accompanied by an adult.;兒童必須有成人陪同。;0;0;0;0
afraid;害怕的;əˈfreɪd;She is afraid of spiders.;她害怕蜘蛛。;0;0;0;0
after;在...之後;ˈæftɚ;We went home after dinner.;晚餐後我們回家了。;0;0;0;0
afternoon;下午;ˌæftɚˈnun;Let’s meet in the afternoon.;我們下午見面吧。;0;0;0;0
again;再次;əˈɡɛn;Please say it again.;請再說一次。;0;0;0;0
against;反對；靠著;əˈɡɛnst;He is against the new rule.;他反對這項新規定。;0;0;0;0
age;年齡；時代;eɪdʒ;What is your age?;你的年齡是多少？;0;0;0;0
ago;以前;əˈɡoʊ;I met him two years ago.;我兩年前見過他。;0;0;0;0
agree;同意;əˈɡri;I agree with your opinion.;我同意你的看法。;0;0;0;0
