a / an;一個（用於單數可數名詞前）;ə/, /æn;She has a cat and an apple.;她有一隻貓和一顆蘋果。;0;0;0;0
able;能夠的;ˈeɪbəl;He is able to swim very fast.;他能夠游得很快。;0;0;0;0
about;關於；大約;əˈbaʊt;Tell me about your family.;告訴我關於你的家庭。;0;0;0;0
above;在...之上;əˈbʌv;The picture hangs above the bed.;那幅畫掛在床上方。;0;0;0;0
according to;根據；按照;əˈkɔrdɪŋ tu;According to the news, it will rain tomorrow.;根據新聞，明天會下雨。;0;0;0;0
across;橫越；穿過;əˈkrɔs;She walked across the street.;她穿過了街道。;0;0;0;0
act;行動；表演;ækt;You must act quickly in an emergency.;緊急狀況下你必須迅速行動。;0;0;0;0
action;行動；動作;ˈækʃən;His brave action saved the child.;他的英勇行動救了那個孩子。;0;0;0;0
actor / actress;男演員／女演員;ˈæktɚ / ˈæktrɪs;The actor won an award for his performance.;那位男演員因他的表演獲獎。;0;0;0;0
add;添加；加上;æd;Please add some sugar to my coffee.;請在我的咖啡裡加些糖。;0;0;0;0
